Timestamp,Dancer_Setpoint,Dancer_Process_Value,Dancer_Output,Nip_Setpoint,Nip_Process_Value,Nip_Output,Line_Speed,Pressure,Quality_Score,Shift,Demo_Event
2026-09-15T06:00:00.000Z,50,50,48.35,42,42.1,44,120,6.2,98.6,A,Praca stabilna
2026-09-15T06:05:00.000Z,50,50.13,48.643,42,42.142,44.171,120.258,6.213,98.623,A,Praca stabilna
2026-09-15T06:10:00.000Z,50,50.249,48.884,42,42.164,44.338,120.513,6.226,98.645,A,Praca stabilna
2026-09-15T06:15:00.000Z,50,50.346,49.068,42,42.17,44.497,120.76,6.239,98.667,A,Praca stabilna
2026-09-15T06:20:00.000Z,50,50.415,49.197,42,42.17,44.644,120.998,6.252,98.689,A,Praca stabilna
2026-09-15T06:25:00.000Z,50,50.454,49.278,42,42.174,44.775,121.221,6.263,98.71,A,Praca stabilna
2026-09-15T06:30:00.000Z,50,50.465,49.319,42,42.188,44.887,121.427,6.274,98.73,A,Praca stabilna
2026-09-15T06:35:00.000Z,50,50.453,49.328,42,42.219,44.977,121.614,6.284,98.749,A,Praca stabilna
2026-09-15T06:40:00.000Z,50,50.427,49.313,42,42.265,45.044,121.778,6.293,98.766,A,Praca stabilna
2026-09-15T06:45:00.000Z,50,50.395,49.28,42,42.321,45.085,121.918,6.301,98.782,A,Praca stabilna
2026-09-15T06:50:00.000Z,50,50.366,49.231,42,42.38,45.1,122.031,6.308,98.797,A,Praca stabilna
2026-09-15T06:55:00.000Z,50,50.344,49.164,42,42.43,45.088,122.116,6.313,98.81,A,Praca stabilna
2026-09-15T07:00:00.000Z,50,50.331,49.077,42,42.462,45.049,122.172,6.317,98.822,A,Praca stabilna
2026-09-15T07:05:00.000Z,50,50.326,48.963,42,42.467,44.985,122.198,6.319,98.831,A,Praca stabilna
2026-09-15T07:10:00.000Z,50,50.324,48.816,42,42.443,44.897,122.194,6.32,98.839,A,Praca stabilna
2026-09-15T07:15:00.000Z,50,50.316,48.63,42,42.391,44.787,122.159,6.319,98.845,A,Praca stabilna
2026-09-15T07:20:00.000Z,50,50.294,48.402,42,42.318,44.658,122.094,6.317,98.848,A,Praca stabilna
2026-09-15T07:25:00.000Z,50,50.253,48.132,42,42.234,44.513,122,6.314,98.85,A,Praca stabilna
2026-09-15T07:30:00.000Z,50,50.188,47.827,42,42.151,44.356,121.879,6.309,98.849,A,Praca stabilna
2026-09-15T07:35:00.000Z,50,50.098,47.498,42,42.078,44.189,121.732,6.303,98.847,A,Praca stabilna
2026-09-15T07:40:00.000Z,50,49.988,47.16,42,42.022,44.018,121.561,6.295,98.842,A,Praca stabilna
2026-09-15T07:45:00.000Z,50,49.866,46.832,42,41.986,43.847,121.368,6.287,98.836,A,Praca stabilna
2026-09-15T07:50:00.000Z,50,49.743,46.537,42,41.967,43.679,121.156,6.277,98.827,A,Praca stabilna
2026-09-15T07:55:00.000Z,50,49.629,46.295,42,41.959,43.519,120.929,6.266,98.817,A,Praca stabilna
2026-09-15T08:00:00.000Z,50,49.535,46.128,42,41.952,43.371,120.688,6.255,98.805,A,Praca stabilna
2026-09-15T08:05:00.000Z,50,49.471,46.05,42,41.938,43.238,120.438,6.243,98.791,A,Praca stabilna
2026-09-15T08:10:00.000Z,50,49.44,46.071,42,41.909,43.124,120.182,6.23,98.775,A,Praca stabilna
2026-09-15T08:15:00.000Z,50,49.442,46.195,42,41.862,43.031,119.923,6.217,98.759,A,Praca stabilna
2026-09-15T08:20:00.000Z,50,49.475,46.415,42,41.799,42.962,119.666,6.204,98.74,A,Praca stabilna
2026-09-15T08:25:00.000Z,50,49.529,46.721,42,41.725,42.918,119.413,6.19,98.721,A,Praca stabilna
2026-09-15T08:30:00.000Z,50,49.595,47.092,42,41.649,42.9,119.168,6.177,98.701,A,Praca stabilna
2026-09-15T08:35:00.000Z,50,49.664,47.505,42,41.584,42.909,118.935,6.164,98.679,A,Praca stabilna
2026-09-15T08:40:00.000Z,50,49.727,47.934,42,41.539,42.945,118.716,6.152,98.658,A,Praca stabilna
2026-09-15T08:45:00.000Z,50,49.779,48.352,42,41.521,43.007,118.515,6.14,98.635,A,Praca stabilna
2026-09-15T08:50:00.000Z,50,49.818,48.736,42,41.533,43.092,118.335,6.129,98.613,A,Praca stabilna
2026-09-15T08:55:00.000Z,50,49.848,49.063,42,41.571,43.2,118.178,6.118,98.59,A,Praca stabilna
2026-09-15T09:00:00.000Z,50,49.873,49.321,42,41.631,43.327,118.046,6.109,98.567,A,Praca stabilna
2026-09-15T09:05:00.000Z,50,49.9,49.499,42,41.7,43.471,117.941,6.101,98.545,A,Praca stabilna
2026-09-15T09:10:00.000Z,50,49.937,49.597,42,41.768,43.627,117.864,6.094,98.523,A,Praca stabilna
2026-09-15T09:15:00.000Z,50,49.989,49.62,42,41.826,43.793,117.817,6.089,98.502,A,Praca stabilna
2026-09-15T09:20:00.000Z,50,50.06,49.577,42,41.868,43.964,117.8,6.084,98.481,A,Praca stabilna
2026-09-15T09:25:00.000Z,50,50.148,49.48,42,41.893,44.135,117.814,6.081,98.462,A,Praca stabilna
2026-09-15T09:30:00.000Z,50,50.249,49.343,42,41.904,44.303,117.857,6.08,98.443,A,Praca stabilna
2026-09-15T09:35:00.000Z,50,50.353,49.181,42,41.909,44.464,117.931,6.08,98.426,A,Praca stabilna
2026-09-15T09:40:00.000Z,50,50.45,49.005,42,41.917,44.614,118.033,6.082,98.411,A,Praca stabilna
2026-09-15T09:45:00.000Z,50,50.529,48.823,42,41.936,44.748,118.162,6.085,98.397,A,Praca stabilna
2026-09-15T09:50:00.000Z,50,50.581,48.639,42,41.974,44.865,118.316,6.089,98.384,A,Praca stabilna
2026-09-15T09:55:00.000Z,50,50.6,48.456,42,42.033,44.96,118.494,6.095,98.374,A,Praca stabilna
2026-09-15T10:00:00.000Z,50,50.583,48.271,42,42.11,45.032,118.693,6.102,98.365,A,Praca stabilna
2026-09-15T10:05:00.000Z,50,50.533,48.08,42,42.198,45.079,118.91,6.111,98.358,A,Praca stabilna
2026-09-15T10:10:00.000Z,50,50.456,47.879,42,42.286,45.099,119.142,6.12,98.353,A,Praca stabilna
2026-09-15T10:15:00.000Z,50,50.361,47.665,42,42.364,45.093,119.385,6.131,98.351,A,Praca stabilna
2026-09-15T10:20:00.000Z,50,50.261,47.439,42,42.421,45.06,119.637,6.142,98.35,A,Praca stabilna
2026-09-15T10:25:00.000Z,50,50.163,47.203,42,42.451,45.001,119.895,6.154,98.351,A,Praca stabilna
2026-09-15T10:30:00.000Z,50,46.478,46.966,42,42.452,44.918,120.153,6.166,95.955,A,Spadek Dancer — dolny próg
2026-09-15T10:35:00.000Z,50,46.41,46.738,42,42.427,44.812,120.41,6.179,95.96,A,Spadek Dancer — dolny próg
2026-09-15T10:40:00.000Z,50,46.359,46.535,42,42.383,44.687,120.661,6.193,95.968,A,Spadek Dancer — dolny próg
2026-09-15T10:45:00.000Z,50,46.323,46.373,42,42.332,44.545,120.902,6.206,95.977,A,Spadek Dancer — dolny próg
2026-09-15T10:50:00.000Z,50,46.295,46.269,42,42.282,44.39,121.132,6.219,95.988,A,Spadek Dancer — dolny próg
2026-09-15T10:55:00.000Z,50,46.269,46.238,42,42.243,44.225,121.345,6.232,96.001,A,Spadek Dancer — dolny próg
2026-09-15T11:00:00.000Z,50,46.237,46.291,42,42.219,44.055,121.54,6.245,96.016,A,Spadek Dancer — dolny próg
2026-09-15T11:05:00.000Z,50,46.194,46.434,42,42.21,43.883,121.714,6.257,96.032,A,Spadek Dancer — dolny próg
2026-09-15T11:10:00.000Z,50,46.138,46.664,42,42.211,43.714,121.864,6.268,96.049,A,Spadek Dancer — dolny próg
2026-09-15T11:15:00.000Z,50,46.07,46.975,42,42.215,43.552,121.988,6.279,96.068,A,Spadek Dancer — dolny próg
2026-09-15T11:20:00.000Z,50,45.998,47.351,42,42.211,43.402,122.085,6.288,96.088,A,Spadek Dancer — dolny próg
2026-09-15T11:25:00.000Z,50,45.928,47.771,42,42.191,43.265,122.153,6.297,96.109,A,Spadek Dancer — dolny próg
2026-09-15T11:30:00.000Z,50,49.471,48.211,42,42.149,43.147,122.191,6.304,98.53,A,Praca stabilna
2026-09-15T11:35:00.000Z,50,49.436,48.642,42,42.084,43.049,122.199,6.31,98.552,A,Praca stabilna
2026-09-15T11:40:00.000Z,50,49.432,49.038,42,41.999,42.975,122.177,6.315,98.575,A,Praca stabilna
2026-09-15T11:45:00.000Z,50,49.461,49.375,42,41.903,42.925,122.124,6.318,98.597,A,Praca stabilna
2026-09-15T11:50:00.000Z,50,49.524,49.634,42,41.806,42.902,122.042,6.32,98.62,A,Praca stabilna
2026-09-15T11:55:00.000Z,50,49.616,49.802,42,41.72,42.905,121.932,6.32,98.643,A,Praca stabilna
2026-09-15T12:00:00.000Z,50,49.729,49.873,42,41.654,42.935,121.795,6.319,98.665,A,Praca stabilna
2026-09-15T12:05:00.000Z,50,49.851,49.849,42,41.615,42.991,121.633,6.316,98.686,A,Praca stabilna
2026-09-15T12:10:00.000Z,50,49.972,49.738,42,41.603,43.072,121.449,6.312,98.707,A,Praca stabilna
2026-09-15T12:15:00.000Z,50,50.08,49.554,42,41.615,43.175,121.244,6.306,98.727,A,Praca stabilna
2026-09-15T12:20:00.000Z,50,50.168,49.316,42,41.642,43.299,121.023,6.3,98.746,A,Praca stabilna
2026-09-15T12:25:00.000Z,50,50.232,49.043,42,41.676,43.439,120.787,6.292,98.764,A,Praca stabilna
2026-09-15T12:30:00.000Z,50,50.274,48.753,42,41.705,43.593,120.541,6.283,98.781,A,Praca stabilna
2026-09-15T12:35:00.000Z,50,50.296,48.464,42,41.723,43.757,120.287,6.272,98.796,A,Praca stabilna
2026-09-15T12:40:00.000Z,50,50.306,48.19,42,41.726,43.927,120.029,6.261,98.809,A,Praca stabilna
2026-09-15T12:45:00.000Z,50,50.312,47.938,42,41.716,44.099,119.77,6.249,98.821,A,Praca stabilna
2026-09-15T12:50:00.000Z,50,50.321,47.713,42,41.699,44.268,119.515,6.237,98.83,A,Praca stabilna
2026-09-15T12:55:00.000Z,50,50.338,47.516,42,41.683,44.431,119.266,6.224,98.838,A,Praca stabilna
2026-09-15T13:00:00.000Z,50,50.365,47.342,42,41.678,44.583,119.028,6.211,98.844,A,Praca stabilna
2026-09-15T13:05:00.000Z,50,50.399,47.189,42,41.694,44.721,118.803,6.198,98.848,A,Praca stabilna
2026-09-15T13:10:00.000Z,50,50.434,47.049,42,41.734,44.842,118.595,6.184,98.85,A,Praca stabilna
2026-09-15T13:15:00.000Z,50,50.464,46.921,42,41.8,44.942,118.406,6.171,98.85,A,Praca stabilna
2026-09-15T13:20:00.000Z,50,50.478,46.803,42,41.886,45.019,118.239,6.159,98.847,A,Praca stabilna
2026-09-15T13:25:00.000Z,50,50.469,46.698,42,41.985,45.071,118.096,6.146,98.843,A,Praca stabilna
2026-09-15T13:30:00.000Z,50,50.431,51.812,42,42.085,45.097,117.98,6.135,98.837,A,Wysoki Dancer Output — górny próg
2026-09-15T13:35:00.000Z,50,50.362,51.754,42,42.174,45.096,117.892,6.124,98.828,A,Wysoki Dancer Output — górny próg
2026-09-15T13:40:00.000Z,50,50.265,51.734,42,42.243,45.069,117.832,6.114,98.818,A,Wysoki Dancer Output — górny próg
2026-09-15T13:45:00.000Z,50,50.146,51.765,42,42.288,45.016,117.803,6.105,98.806,A,Wysoki Dancer Output — górny próg
2026-09-15T13:50:00.000Z,50,50.016,51.855,42,42.308,44.938,117.804,6.098,98.793,A,Wysoki Dancer Output — górny próg
2026-09-15T13:55:00.000Z,50,49.886,52.012,42,42.307,44.837,117.836,6.091,98.777,A,Wysoki Dancer Output — górny próg
2026-09-15T14:00:00.000Z,50,49.768,52.239,42,42.294,44.715,117.897,6.086,98.761,B,Wysoki Dancer Output — górny próg
2026-09-15T14:05:00.000Z,50,49.671,52.53,42,42.278,44.577,117.988,6.083,98.743,B,Wysoki Dancer Output — górny próg
2026-09-15T14:10:00.000Z,50,49.601,52.878,42,42.269,44.424,118.106,6.081,98.723,B,Wysoki Dancer Output — górny próg
2026-09-15T14:15:00.000Z,50,49.562,53.266,42,42.273,44.261,118.251,6.08,98.703,B,Wysoki Dancer Output — górny próg
2026-09-15T14:20:00.000Z,50,49.549,53.673,42,42.291,44.091,118.419,6.081,98.682,B,Wysoki Dancer Output — górny próg
2026-09-15T14:25:00.000Z,50,49.559,54.075,42,42.322,43.919,118.61,6.083,98.66,B,Wysoki Dancer Output — górny próg
2026-09-15T14:30:00.000Z,50,49.581,49.247,42,42.358,43.75,118.82,6.087,98.638,B,Praca stabilna
2026-09-15T14:35:00.000Z,50,49.609,49.564,42,42.389,43.586,119.046,6.092,98.615,B,Praca stabilna
2026-09-15T14:40:00.000Z,50,49.634,49.804,42,42.405,43.433,119.285,6.098,98.593,B,Praca stabilna
2026-09-15T14:45:00.000Z,50,49.651,49.95,42,42.399,43.293,119.534,6.106,98.57,B,Praca stabilna
